ID_LOC	MEAS_DATE	MEAS_TIME	SITE	SITE_PLOT	PAI_DEVICE_LAB	PAI_DEVICE_TYPE	PAI_MEAS_TYPE	ID_MEAS	PAI	GAP1	GAP2	GAP3	GAP4	GAP5	BAD_READINGS
PSL_5_MEAS9	20210512	06:08:47	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	9	2.18388	0.298664	0.329507	0.174093	0.133159	0.108114	NA
PSL_5_MEAS7	20210512	06:09:38	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	7	1.72494	0.478459	0.334771	0.211029	0.220833	0.219962	NA
PSL_5_MEAS17	20210512	06:10:53	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	17	1.9236	0.575177	0.376765	0.249837	0.156148	0.110333	NA
PSL_5_MEAS19	20210512	06:11:28	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	19	1.54816	0.718691	0.514843	0.344391	0.239513	0.124852	NA
PSL_5_MEAS13	20210512	06:13:29	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	13	2.42633	0.163546	0.132271	0.158025	0.172465	0.094931	NA
PSL_5_MEAS1	20210607	21:41:50	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	1	2.72476	0.192282	0.198291	0.159944	0.0779686	0.0554552	NA
PSL_5_MEAS3	20210607	21:42:22	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	3	1.04145	0.827347	0.742032	0.690498	0.352979	0.153502	NA
PSL_5_MEAS5	20210607	21:42:43	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	5	2.4646	0.0871037	0.104155	0.11009	0.162261	0.214531	NA
PSL_5_MEAS15	20210607	21:43:17	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	15	2.8438	0.0442733	0.0664395	0.125764	0.141845	0.0932104	NA
PSL_5_MEAS25	20210607	21:43:55	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	25	2.15695	0.20789	0.277017	0.32406	0.120378	0.0844928	NA
PSL_5_MEAS23	20210607	21:44:35	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	23	2.20084	0.366274	0.267943	0.260054	0.134456	0.0689957	NA
PSL_5_MEAS21	20210607	21:45:08	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	21	2.94414	0.169004	0.137922	0.140941	0.0726121	0.0443505	NA
PSL_5_MEAS11	20210607	21:46:50	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	11	3.42385	0.0368868	0.0777039	0.101548	0.0511502	0.0458483	NA
PSL_5_MEAS9	20210607	21:47:07	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	9	2.19516	0.515529	0.246957	0.205185	0.136694	0.0897877	NA
PSL_5_MEAS7	20210607	21:49:09	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	7	1.95476	0.286853	0.256541	0.318122	0.189048	0.100043	NA
PSL_5_MEAS17	20210607	21:50:07	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	17	2.51804	0.494714	0.224046	0.181492	0.0904854	0.0573657	NA
PSL_5_MEAS19	20210607	21:50:32	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	19	2.4616	0.330503	0.369221	0.156179	0.0729681	0.0822663	NA
PSL_5_MEAS13	20210607	21:51:04	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	13	2.96924	0.096612	0.101678	0.117499	0.107233	0.0470827	NA
