ID_LOC	SAMPLING_DATE	SAMPLING_TIME	SITE	SITE_PLOT	SPECIES	TREE	TREE_LEAF	TREE_LEAF_AGE	LEAFTRAIT_LAB	CHL_PROSPECT	CAR_PROSPECT	ANT_PROSPECT	EWT_PROSPECT	EWT_LAB	LMA_PROSPECT	LMA_LAB	PROT_PROSPECT	CBC_PROSPECT
PUE_CP1_QI_0076	20210512	NA	PUE	CP1	QI	76	L1	Y	TETIS	77.3	16.6	3.1859487	0.0185	0.014854461	0.028	0.024	0.0037	0.0236
PUE_CP1_QI_0076	20210512	NA	PUE	CP1	QI	76	L2	Y	TETIS	78.9	16.2	4.218889387	0.0183	0.016481379	0.0273	0.0249	0	0.02469
PUE_CP1_QI_0076	20210512	NA	PUE	CP1	QI	76	L3	Y	TETIS	48.7	13.8	3.957902119	0.0183	0.016269172	0.0268	0.0244	0.00058	0.02509
PUE_CP1_QI_0076	20210512	NA	PUE	CP1	QI	76	L4	O	TETIS	45.1	12.5	4.837726762	0.0157	0.015517607	0.0281	0.0239	0.00098	0.02599
PUE_CP2_QI_1113	20210512	NA	PUE	CP2	QI	1113	L1	Y	TETIS	78.1	16.1	4.872671766	0.0138	0.012732395	0.0202	0.019	0.0018	0.01745
PUE_CP2_QI_1113	20210512	NA	PUE	CP2	QI	1113	L2	Y	TETIS	95.5	16.2	4.251558368	0.0147	0.013262912	0.0214	0.0196	0.00336	0.01689
PUE_CP2_QI_1113	20210512	NA	PUE	CP2	QI	1113	L3	Y	TETIS	68.7	14.6	4.595560682	0.0134	0.012511347	0.0205	0.0188	0	0.01802
PUE_CP2_QI_1113	20210512	NA	PUE	CP2	QI	1113	L4	O	TETIS	88.9	17.3	2.813234931	0.0151	0.013262912	0.0235	0.0208	0.00189	0.02037
PUE_CP2_QI_1151	20210512	NA	PUE	CP2	QI	1151	L1	Y	TETIS	82.4	15.2	3.789970456	0.0196	0.017128103	0.0284	0.0233	0.00005	0.02496
PUE_CP2_QI_1151	20210512	NA	PUE	CP2	QI	1151	L2	Y	TETIS	92.5	16.2	3.981831843	0.0197	0.017109156	0.0272	0.0229	0.00033	0.02735
PUE_CP2_QI_1151	20210512	NA	PUE	CP2	QI	1151	L3	Y	TETIS	83.6	16.5	6.418987895	0.021	0.016917581	0.0276	0.0229	0.00278	0.02623
PUE_CP2_QI_1151	20210512	NA	PUE	CP2	QI	1151	L4	O	TETIS	63.2	14.2	5.736195965	0.0173	0.014500784	0.0232	0.0209	0	0.02283
PUE_CP2_QI_1411	20210512	NA	PUE	CP2	QI	1411	L1	Y	TETIS	57.8	12.6	3.681449277	0.01	0.008993517	0.0151	0.015	0.00039	0.01476
